run_id,run_name,status,meta_learner,accuracy,roc_auc,f1,precision,recall,log_loss,threshold,n_estimators,learning_rate,max_depth,num_leaves,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_samples,scale_pos_weight,min_child_weight,min_samples_split,min_samples_leaf,max_features,C,max_iter,solver
d70f6d3ae82546c5a8f9aabe4c134a08,stacking-ensemble,FINISHED,lgbm,0.7175301632363378,0.8113875326151541,0.5862785862785863,0.47959183673469385,0.7540106951871658,0.46184863799108,0.2510204081632653,,,,,,,,,,,,,,,,,
80fb46c1fa60431c8dae5b7bd6a87907,lightgbm-optuna,FINISHED,,0.7799858055358411,0.8446769485132655,0.6291866028708134,0.5692640692640693,0.7032085561497327,0.4840814346196562,0.5877551020408163,200,0.02560795363268596,3,56,0.9292092385754502,0.7830734089554952,0.836010711928369,0.000286345744435323,22,2.768561872909699,,,,,,,
6a13e0e96b6a4670811ed13cf2485180,xgboost-optuna,FINISHED,,0.7892122072391767,0.8463161021984551,0.631055900621118,0.5893271461716937,0.679144385026738,0.48478677630089084,0.6183673469387755,150,0.027688110412363926,3,,0.8249089546892663,0.718126606988351,0.0007462327768199522,0.06591909341305037,,2.768561872909699,10,,,,,,
a28cc36bc7e54754b833639b6e0e5d2e,gradient-boosting-optuna,FINISHED,,0.7707594038325053,0.8413392234364101,0.6342015855039638,0.550098231827112,0.7486631016042781,0.4200198597285141,0.3020408163265306,250,0.023173712166818888,4,,0.6169954617651768,,,,,,,18,,,,,
b354f9d0b6f44b119125302d09659d11,random-forest-optuna,FINISHED,,0.7537260468417317,0.8374576971763671,0.6207650273224044,0.5249537892791127,0.7593582887700535,0.4741012149298411,0.4959183673469388,250,,17,,,,,,,,,5,9,sqrt,,,
68dce9a7621242f3ad3e19957562dfef,logistic-regression-optuna,FINISHED,,0.7650816181689141,0.8392518535741043,0.6146682188591386,0.5443298969072164,0.7058823529411765,0.5013537913098892,0.6183673469387755,,,,,,,,,,,,,,,47.93682194976994,400,saga
b3fa43cfd3514eb6b95840a759f36152,logistic-regression-optuna,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,
5fc38c1fc9d040329826bb0cfe5ccc96,gradient-boosting-optuna,FINISHED,,0.8034066713981547,0.8458459273037278,0.5770992366412214,0.6725978647686833,0.5053475935828877,0.4168812211363606,,100,0.05,3,,,,,,,,,,,,,,
76bcc27620124141a6a3122399d95ce2,random-forest-optuna,FINISHED,,0.7927608232789212,0.8397736960396807,0.5165562913907285,0.6782608695652174,0.41711229946524064,0.4274506695857014,,300,,5,,,,,,,,,5,,,,,
a0e9a5090f9e439293381acb431c39a2,logistic-regression-optuna,FINISHED,,0.8048261178140526,0.8410473016611124,0.6031746031746031,0.6551724137931034,0.5588235294117647,0.42157748141783996,,,,,,,,,,,,,,,,10.0,500,lbfgs
